2017-08-10 18:52:15.311716|INFO    |VirtualServerBase|1  |client disconnected 'friend4'(id:351) reason 'reasonmsg=verlassen'
2017-08-10 19:38:51.710915|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-10 20:03:51.585584|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-10 22:03:48.530720|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-10 22:03:56.149739|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-10 22:03:57.347433|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-10 22:37:00.526605|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-11 04:13:13.048590|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2017-08-11 04:13:13.048673|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-11 08:20:09.411654|INFO    |VirtualServer |1  |query client connected 'Unknown from 1.1.1.1:111'(id:73)
2017-08-11 08:20:09.413145|INFO    |VirtualServerBase|1  |query client disconnected 'Scriptie'(id:73) reason 'reasonmsg=disconnecting'
2017-08-11 10:33:26.055080|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-11 11:01:26.124125|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2017-08-11 11:01:26.124215|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-11 11:02:04.195838|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-11 18:22:53.318926|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-11 19:13:52.315846|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-11 19:13:55.665007|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-11 19:14:12.595452|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-11 20:41:23.976470|INFO    |VirtualServerBase|1  |client connected 'Bob7'(id:345) from 1.1.1.1:111
2017-08-11 20:41:24.380870|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3964535759' by client 'Bob7'(id:345)
2017-08-11 20:44:17.575437|INFO    |VirtualServerBase|1  |client disconnected 'Bob7'(id:345) reason 'reasonmsg=Verlassen'
2017-08-11 21:11:29.495757|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-11 22:32:24.992028|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-12 00:57:08.315931|INFO    |VirtualServerBase|1  |client connected 'friend-too1'(id:3) from 1.1.1.1:111
2017-08-12 00:57:27.041806|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2017-08-12 00:57:27.061191|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-12 02:08:12.531905|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
